"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"Sugarscape 2 Constant Growback_edit.nlogo"
"metab_vision_pop"
"02/13/2024 13:20:22:133 +0000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","49","0","49"
"[run number]","initial-population","max-metabolism","max-vision","[step]","count turtles","survival-rate","last-death","gini-index","mean [vision] of turtles","mean [metabolism] of turtles"
"23","300","6","2","215","111","0.37","113","0.3191879980942481","1.5225225225225225","1.864864864864865"
"24","400","6","2","186","151","0.3775","84","0.37381908213716725","1.5165562913907285","1.8410596026490067"
"25","500","6","2","180","178","0.356","78","0.37159094096510215","1.595505617977528","1.797752808988764"
"31","100","8","2","125","31","0.31","23","0.3580362536090131","1.4516129032258065","1.8387096774193548"
"16","600","4","2","385","261","0.435","283","0.3625312978405943","1.5593869731800767","1.6513409961685823"
"32","200","8","2","202","58","0.29","100","0.3277649512176958","1.706896551724138","1.9655172413793103"
"26","600","6","2","444","183","0.305","342","0.3913301406994429","1.6120218579234973","1.7923497267759563"
"28","800","6","2","368","236","0.295","266","0.3757983819859207","1.5296610169491525","1.6016949152542372"
"27","700","6","2","420","220","0.3142857142857143","318","0.38750686803869183","1.5863636363636364","1.6818181818181819"
"30","1000","6","2","373","273","0.273","271","0.40007059946636925","1.586080586080586","1.6043956043956045"
"34","400","8","2","248","120","0.3","146","0.3413232932203524","1.5916666666666666","1.8083333333333333"
"35","500","8","2","194","133","0.266","92","0.367737769625599","1.5263157894736843","1.7142857142857142"
"29","900","6","2","482","265","0.29444444444444445","380","0.3463691931046053","1.6","1.5660377358490567"
"36","600","8","2","281","140","0.23333333333333334","179","0.3569071575706815","1.542857142857143","1.8714285714285714"
"33","300","8","2","283","84","0.28","181","0.3187362844780739","1.5476190476190477","1.8214285714285714"
"41","100","10","2","123","27","0.27","21","0.3719229709763855","1.4444444444444444","2"
"42","200","10","2","155","49","0.245","53","0.34186332214826626","1.6938775510204083","2"
"37","700","8","2","342","179","0.2557142857142857","240","0.34298660571132716","1.5698324022346368","1.7486033519553073"
"44","400","10","2","269","83","0.2075","167","0.3587736959153452","1.5301204819277108","1.927710843373494"
