"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"Sugarscape 2 Constant Growback_edit.nlogo"
"sugar_endowment"
"02/13/2024 12:51:40:559 +0000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","49","0","49"
"[run number]","minimum-sugar-endowment","maximum-sugar-endowment","[step]","count turtles","survival-rate","last-death","gini-index","mean [vision] of turtles","mean [metabolism] of turtles","endowment-error"
"4","20","10","0","0","0","0","0","<RuntimePrimitiveException>","<RuntimePrimitiveException>","true"
"5","25","10","0","0","0","0","0","<RuntimePrimitiveException>","<RuntimePrimitiveException>","true"
"6","30","10","0","0","0","0","0","<RuntimePrimitiveException>","<RuntimePrimitiveException>","true"
"7","35","10","0","0","0","0","0","<RuntimePrimitiveException>","<RuntimePrimitiveException>","true"
"8","40","10","0","0","0","0","0","<RuntimePrimitiveException>","<RuntimePrimitiveException>","true"
"3","15","10","0","0","0","0","0","<RuntimePrimitiveException>","<RuntimePrimitiveException>","true"
"2","10","10","0","0","0","0","0","<RuntimePrimitiveException>","<RuntimePrimitiveException>","true"
"9","45","10","0","0","0","0","0","<RuntimePrimitiveException>","<RuntimePrimitiveException>","true"
"14","20","20","0","0","0","0","0","<RuntimePrimitiveException>","<RuntimePrimitiveException>","true"
"16","30","20","0","0","0","0","0","<RuntimePrimitiveException>","<RuntimePrimitiveException>","true"
"10","50","10","0","0","0","0","0","<RuntimePrimitiveException>","<RuntimePrimitiveException>","true"
"15","25","20","0","0","0","0","0","<RuntimePrimitiveException>","<RuntimePrimitiveException>","true"
"18","40","20","0","0","0","0","0","<RuntimePrimitiveException>","<RuntimePrimitiveException>","true"
"17","35","20","0","0","0","0","0","<RuntimePrimitiveException>","<RuntimePrimitiveException>","true"
"20","50","20","0","0","0","0","0","<RuntimePrimitiveException>","<RuntimePrimitiveException>","true"
"19","45","20","0","0","0","0","0","<RuntimePrimitiveException>","<RuntimePrimitiveException>","true"
"21","5","30","192","398","0.44222222222222224","90","0.34296207204025525","3.6180904522613067","1.4824120603015076","0"
